,neg_model,pos_model,text,dist_point0.725
458282,0.27305165,0.7269483,this country is a piece of shit why did i have to be born here why why why,0.001948300000000014
440236,0.27712676,0.7228733,I got offered a job!!!!! *does happy dance* 💃💃💃💃👏👏,0.002126699999999926
504849,0.27268803,0.72731197,"honestly just wanna sell these tickets now, I don't even wanna go.",0.002311970000000052
375887,0.2773314,0.7226686,"i just need a place to get out my mental illness venting, unfortunate",0.0023313999999999835
101037,0.27734157,0.7226584,So sore from standing all last night but no regrets🌚,0.0023415999999999437
215822,0.27743837,0.7225616,I am so pissed off...Grrr,0.0024383999999999517
293328,0.27254125,0.7274588000000001,Lmao. On my way to school. Rainy and shit. While I was in class...sunny and beautiful.  Just got out. Rainy and shit again. WTF.,0.0024588000000000942
443467,0.27227786,0.7277220999999999,Getting paid biweekly sucks ass bc I spend money like crazy.,0.0027220999999999496
43531,0.27222458,0.72777545,Super pissed off that I have to work on thanksgiving and I don't get paid any extra for it.,0.0027754500000000126
481961,0.27220893,0.7277911,I'm so bored someone help,0.0027911000000000463
420233,0.27218112,0.7278189,"Ricky got genuinely mad at me for spending my own money on make-up, says I'm being irresponsible??? 🤔🖕🏼",0.0028189000000000686
186664,0.27199706,0.7280029,I been avoiding commitment that's why I'm in the position,0.0030029000000000305
446472,0.2719563,0.7280437,wow school is almost over... thank u jesus,0.0030436999999999825
272451,0.27185082,0.72814924,I believe in karma so I be tryin not to do bad shit,0.003149240000000053
239144,0.2781741,0.7218259,Sleepless night for me.....😞,0.0031740999999999575
113342,0.27166665,0.7283333000000001,HanDs are trembling bc need coffee,0.0033333000000000945
1349,0.2784791,0.72152084,My memory is worthless I need to make some changes. My shorty term memory is non existent smh,0.0034791599999999256
214557,0.27145842,0.72854155,Im spoiled with a job😌👌,0.0035415500000000044
316361,0.27860487,0.72139513,This is probably the last time I'll be able to do this so freely. Tuition is about to fucking kill me next week. Broke bitch.,0.0036048699999999823
254339,0.27137282,0.72862715,@stevebikes I'm still swooning. Didn't want to leave.,0.0036271500000000234
153893,0.27878457,0.7212154000000001,They should of cancelled school today 😩 I'm tired man 😭,0.003784599999999916
6927,0.27117129999999995,0.72882867,I really want those Oreos just don't know if I should?!?,0.0038286699999999785
115133,0.2711396,0.7288604000000001,Why is it raining!!!!???? 😩😩😩,0.003860400000000097
222773,0.27886713,0.7211329000000001,I'm tired but can't sleep,0.003867099999999901
498112,0.27111533,0.72888464,Im tryna fuck n shower for some hours bihh,0.0038846399999999948
210867,0.27108413,0.72891587,I'm about to take a nap til 6. I'm tired,0.0039158700000000435
291999,0.27107748,0.72892255,I dreamt about vacation last night lol I was way drunk in my dream hahaha,0.003922549999999969
480686,0.2789442,0.72105587,sexually frustrated? no you misunderstood i am SPORTS frustrated ahahaah. god my team sucks,0.003944129999999935
468261,0.27097124,0.7290288,sleep schedule is so messed up 😫,0.0040288000000000546
313800,0.27084264,0.7291573,"I just walked to go get food, I was desperate 😂",0.00415730000000003
915,0.27935079999999995,0.72064924,its almost 4am fuck,0.004350760000000009
444725,0.27944365,0.7205563,@Mcasshole135 @thereedster96 yeah i know but i feel like if i dont quit im going to get fired cause both my bosses call and bitched at me,0.004443699999999939
136855,0.2705453,0.7294547,Dropped my phone in the river... :/,0.004454700000000034
244256,0.2795429,0.72045714,im about to knock the fuck out,0.004542859999999926
323460,0.27961529999999996,0.72038466,bruh I'm so bored right now what can i do,0.004615339999999968
287634,0.27961620000000004,0.7203838,All I am is a huge bother to people. Fuck my life so much!,0.004616199999999959
412025,0.2703145,0.72968554,wow tn was so shitty gn,0.004685539999999988
154326,0.2702341,0.7297659000000001,Still can't sleep haha. Fml.,0.004765900000000101
337505,0.2798314,0.7201685999999999,I'M SO PISSED OFF RN NOBODY TOUCH ME,0.004831400000000041
217028,0.27014699999999997,0.72985303,@tlauer53 @taybay4 Yall done fucked up now hurting my best friends feelings.,0.004853030000000036
345951,0.27987435,0.7201255999999999,Woke up thinking it was my birthday. It's not. 😔,0.0048744000000000565
416241,0.2701004,0.72989964,I don't why people think I'm mixed Asian??? Iol I don't look Asian at all.,0.004899639999999983
384742,0.2700663,0.7299336999999999,I just put my sock on too violently and popped my ankle and now I can't walk,0.00493369999999993
100302,0.2800034,0.7199966,but das ok because I ❤️ food,0.005003399999999991
392049,0.26997122,0.73002875,I got into sva!!!!!! Im going to college!!!!!!!!,0.005028750000000026
122125,0.28009975,0.71990025,@CubsDen I passed out on the couch watching MLB Network 45 minutes before it happened. So mad at myself,0.0050997499999999585
345766,0.26985407,0.73014593,I ran out of poké balls and started crying I hate myself,0.005145930000000076
386585,0.28028232,0.7197177,I'm ugly but I'm funny 😛,0.005282299999999962
436333,0.26968572,0.7303143,I'm no where near tired,0.005314299999999994
207390,0.2803665,0.7196335,I'm tired af 🙄,0.005366499999999941
62041,0.26961967,0.73038036,omg im so annoying i fukin hate me,0.005380359999999973
112732,0.26960272,0.7303973000000001,"About to start planning my 23rd birthday event, shit almost 2 months away",0.00539730000000016
403180,0.28041209999999994,0.7195879,Best friend still didn't call me.. It's like 3 days later 😂😂😂,0.005412100000000031
