,neg_model,pos_model,text,dist_point5
54307,0.49976578,0.5002342000000001,https://t.co/AaSMu0touO #0799 #9813 Apple iPhone 5s - 64GB (Factory Unlocked) Smartphone -... https://t.co/eKaJTGORRu,0.00023420000000007324
122754,0.49976465,0.5002353,RT https://t.co/5BMgvVDXBY EzMobiles Visited #Dismaland &amp; The Beach Using The #SonyXperiaM4Aqua #Example #Photogr… https://t.co/TRKc2NO0h5,0.00023530000000004936
291388,0.4997641,0.50023586,@ElizaAllure 260 to 150 to 195 to...? http://t.co/QboQ4D2kMS,0.00023585999999997664
215308,0.49976304,0.500237,"RT @ChanelVsWalmart: Chanel Vs. Walmart #purpose 
#madeintheam https://t.co/UW9Ih0oR1B",0.00023700000000004273
12641,0.4997624,0.5002376000000001,Ford truck f150 https://t.co/IIQm02N7Ur,0.00023760000000005999
118805,0.49975947,0.5002405,Understanding the Customer Experience: It’s All About Me https://t.co/Vlqhf4FmAk via @AvanadeInc,0.00024049999999997684
348621,0.49975675,0.50024325,"RT @MostBreathWorld: Calm and Peaceful of Tuscany, Italy https://t.co/F8F3fFALjN",0.00024325000000002817
452543,0.5002472,0.49975285,What can I do for you?,0.0002471499999999738
430188,0.50024766,0.49975237,RT @nickel1963: Indeed! Looking forward to next time! #VetsRising  https://t.co/EhPV0nhWa2,0.0002476299999999987
54275,0.49974152,0.50025845,The Sales Whisperer LIVE NOW: https://t.co/9miVtH0rkR Veterans on the Move - make more money! with Joe Crane #military #Radio,0.00025845000000002116
517351,0.49972743,0.5002726,@HotTopic 😍 please !!! http://t.co/tMhMkadWs9,0.0002725999999999562
308134,0.49972287,0.50027716,RT @Tyrese_3300: @thefightplug Part 2 http://t.co/MjOMR40qUy,0.0002771599999999985
181907,0.5002783,0.49972174,RT @rosaleemusic: A big THANK YOU to Rockey Love &amp; the rest of the family @WIMXMIX957 I really appreciate all the love &amp; support❤️ https://…,0.00027825999999997464
119199,0.4997173,0.50028276,Reston’s going to need $2.6 billion in infrastructure improvements. Here’s how you may be paying for them https://t.co/p7caDYTxZG,0.00028276000000004853
289292,0.5002856,0.49971437,Each &amp; Every Saturday at #KONCRETE! http://t.co/1j3ZSoYLvw,0.0002856299999999812
216853,0.49970934,0.5002907,Retweet 100x  https://t.co/DOXFL0kIPI,0.0002906999999999771
392805,0.50029606,0.4997039000000001,Sprague Resources LP $SRLP to Issue Quarterly Dividend of $0.55 https://t.co/Bv5h8j3o06,0.0002960999999999103
81878,0.49969718,0.50030285,RT @The_IoW: Computer Science Is Now A High School Graduation Requirement In Chicago’s Public School https://t.co/ZlRagYY0Tc via @techcrunch,0.00030284999999996565
443532,0.4996945,0.50030553,RT @DIYlatest: Do it yourself: Felt Xmas Decorations Decorations -  https://t.co/cdoRDdjMaM,0.0003055299999999983
59738,0.49968925,0.5003108,RT @TheSocialQuant: 5 Ways How To Use #Twitter Analytics For #Entrepreneurs: https://t.co/ERXCZTyiFL https://t.co/DhyKF0Wfeo,0.0003108000000000555
243336,0.49968702,0.5003129,"RT @frontpagestocks: $TXHD has pulled back nicely #Ready for #round 2. Load the boat #RT the #stock #alert
https://t.co/SrquVxbQ0b",0.00031289999999994933
430402,0.5003171,0.49968290000000004,RT @tvstarterspacks: aria montgomery starter pack https://t.co/OgcltJcmFV,0.0003170999999999591
207086,0.500322,0.49967799999999996,RT @buzzy_digital: Kane Evans shoulder charges Sam Kasiano https://t.co/IhyfmbqP8b,0.00032200000000004447
7178,0.50032836,0.49967164,Elections board OKs four 2 run 4 #Columbus mayor  http://t.co/HaX0V1WMBy #Columbusschoolboard #JamesRagland #primaryelection,0.0003283600000000275
243370,0.49966776,0.50033224,WSOP Mark Intellectual Property Rights - https://t.co/eE0SEJkSlL https://t.co/z9YKsynVyT,0.00033223999999998366
128187,0.49966493,0.50033504,RT @DJSpinARound: R.I.P Ladies... 👼 Retweet to show respect.. http://t.co/gewyuCSGz2,0.00033503999999995315
463771,0.49966133,0.5003387,#Beauty #Deals Tria Beauty Precision Laser Hair Removal for Face &amp; Beauty http://t.co/OFa2ROGszk #Skin #women #369,0.0003387000000000251
216944,0.49965957,0.50034046,happy birthday @robbin_your_CAR hope you have a great day 🎉 https://t.co/XP9fSiXXEp,0.0003404599999999869
126191,0.499647,0.50035304,Island Storm franchise will make money this year: NBL https://t.co/Xd9rwY6O6H,0.00035304000000002667
306500,0.50035393,0.49964604,RT @GreatHealth_: New advanced rapid muscle building trick for getting in shape for summer is a must see! http://t.co/jlekHtrNli http://t.c…,0.0003539599999999865
107977,0.49964315,0.5003568,"RT @guimibot: ""Forest Vibes"" by MeishaMock~ on #deviantArt https://t.co/Zm7qwyTOqC",0.00035680000000004597
449005,0.5003588,0.49964112,NWT VERA BRADLEY LARGE COSMETIC CASE RHYTHM AND BLUES - Bid Now! Only $11.5 https://t.co/Glf5iVqUdn https://t.co/8grGcIR3Oo,0.00035888000000000586
395837,0.49963695,0.50036305,Jack In The Box Wins the night and other insights from QSR foot traffic report https://t.co/doVD4NATpD,0.0003630500000000314
304830,0.50037104,0.499629,RT @thepiratebae: pinterest updated their web ui. im wet.,0.0003710000000000102
